text,intent,action,target_group,parameter,value_type
"Двигатель паронитовый СТ 286 kz 0.75, Вал приводной АРТ 462 40",multi_set_parameter,set_multiple,all,kz,absolute
понизь объем для для всех на 10,update_parameter,decrease,all,quantity,absolute
нарасти все позиции максимум станков на робота на 5,update_parameter,increase,all,max_machines_per_robot,absolute
измени доп. инвестиции роботизированные звенья 2.5,set_parameter,set,роботизированная операция,additional_investment,absolute
у Плазморез опорный РЭ 968 повысь загрузки на 8%,update_parameter,increase,all,kz,percent
"для Домкрат паронитовый Z555 задай оперативное время 1.8, для Домкрат приводной ПП-324 2",multi_set_parameter,set_multiple,all,top,absolute
"Кронштейн Ф-690 загрузки 3, Звёздочка усиленный Ф 839 загрузки 3",multi_set_parameter,set_multiple,all,kz,absolute
зафиксируй у все позиции объём 3.5,set_parameter,set,all,quantity,absolute
покажи все вентилятор для редактирования,show_items,show,вентилятор,none,none
найди все всех операций для редактирования,show_items,show,операция,none,none
